,Time,CO2_sillburp,CO2_silli
311,78893.96245560629,51.133367042466105,41.541480477562565
312,79147.6407914764,50.96109635089435,41.40008732597312
313,79401.31912734652,50.78994657975796,41.259556388306606
314,79654.99746321664,50.619906895288324,41.1198792536337
315,79908.67579908675,50.450966602055296,40.98104762930505
316,80162.35413495687,50.28311514076305,40.843053338817725
317,80416.03247082699,50.116342086116,40.70588831992019
318,80669.71080669711,49.95063714465441,40.569544622582455
319,80923.38914256722,49.78599015275634,40.43401440713331
320,81177.06747843734,49.622391074547785,40.29928994239024
321,81430.74581430746,49.45982999993875,40.165363603795235
322,81684.42415017757,49.29829714264204,40.03222787158527
323,81938.10248604769,49.1377828382961,39.89987532911016
324,82191.78082191781,48.97827754251709,39.76829866101406
325,82445.45915778792,48.81977182911203,39.637490651551346
326,82699.13749365804,48.662256388234184,39.50744418294741
327,82952.81582952816,48.50572202457341,39.378152233714275
328,83206.49416539827,48.35015965563979,39.24960787706933
329,83460.17250126839,48.19556031008134,39.12180427932556
330,83713.85083713851,48.04191512587861,38.99473469841155
331,83967.52917300862,47.88921534882233,38.86839248225818
332,84221.20750887874,47.73745233080977,38.742771067366746
333,84474.88584474886,47.58661752824373,38.617863977331815
334,84728.56418061897,47.43670250052839,38.493664821390496
335,84982.24251648909,47.2876989084377,38.37016729302786
336,85235.92085235921,47.1395985127053,38.24736516857401
337,85489.59918822932,46.992393172408185,38.12525230587807
338,85743.27752409944,46.846074843656666,38.00382264292095
339,85996.95585996956,46.700635578043304,37.88307019656322
340,86250.63419583967,46.55606752129603,37.76298906120271
341,86504.31253170979,46.41236291185882,37.64357340757761
342,86757.99086757991,46.269514079568786,37.52481748146562
343,87011.66920345002,46.127513444275785,37.406715602488596
344,87265.34753932014,45.986353514595336,37.289262162950756
345,87519.02587519026,45.8460268865281,37.17245162659858
346,87772.70421106037,45.70652624229046,37.05627852756163
347,88026.38254693049,45.567844348988345,36.94073746911795
348,88280.06088280061,45.42997405744434,36.82582312266023
349,88533.73921867073,45.29290830097098,36.711530226583996
350,88787.41755454084,45.15664009421501,36.59785358520425
351,89041.09589041096,45.02116253195544,36.484788067730086
352,89294.77422628108,44.886468787990744,36.37232860719829
353,89548.45256215119,44.752552114004914,36.26047019950029
354,89802.1308980213,44.61940583847014,36.14920790234269
355,90055.80923389143,44.487023365569605,36.03853683432823
356,90309.48756976154,44.355398174109126,35.92845217391301
357,90563.16590563166,44.224523816487604,35.818949158559704
358,90816.84424150178,44.094393917641504,35.710023083721076
359,91070.52257737188,43.96500217408168,35.60166930201132
360,91324.200913242,43.83634235283235,35.493883222250616
361,91577.87924911213,43.708408290499655,35.386660308595246
362,91831.55758498223,43.581193892284745,35.27999607973453
363,92085.23592085236,43.45469313105539,35.17388610796491
364,92338.91425672248,43.32890004635194,35.06832601841441
365,92592.59259259258,43.20380874358824,34.963311488176195
366,92846.2709284627,43.079413393027664,34.85883824556818
367,93099.94926433283,42.95570822897847,34.75490206929367
368,93353.62760020293,42.832687548856946,34.65149878766751
369,93607.30593607305,42.71034571240089,34.54862427790461
370,93860.98427194318,42.58867714075764,34.44627446531718
371,94114.66260781328,42.467676315700004,34.3444453225838
372,94368.3409436834,42.34733777879005,34.243132869078025
373,94622.01927955353,42.22765613056591,34.142333170099015
374,94875.69761542363,42.108626029761915,34.042042336209775
375,95129.37595129375,41.99024219255991,33.942256522538194
376,95383.05428716388,41.872499391729946,33.84297192810651
377,95636.732623034,41.755392456011194,33.74418479517465
378,95890.4109589041,41.63891626924242,33.64589140857977
379,96144.08929477422,41.52306576970362,33.54808809510198
380,96397.76763064435,41.4078359494047,33.45077122284676
381,96651.44596651445,41.29322185332333,33.35393720060613
382,96905.12430238457,41.17921857875443,33.25758247728687
383,97158.8026382547,41.065821274586185,33.161703541258696
384,97412.4809741248,40.9530251407068,33.066296919815485
385,97666.15930999492,40.84082542721747,32.97135917860792
386,97919.83764586505,40.72921743388771,32.87688692103014
387,98173.51598173515,40.61819650945751,32.78287678768138
388,98427.19431760527,40.50775805101091,32.6893254558429
389,98680.8726534754,40.39789750335166,32.596229638923994
390,98934.5509893455,40.288610358425785,32.50358608592332
391,99188.22932521562,40.17989215463287,32.411391580909914
392,99441.90766108574,40.071738476342574,32.31964294254755
393,99695.58599695585,39.96414495319179,32.228337023544505
394,99949.26433282597,39.857107259633494,32.13747071017494
395,100202.9426686961,39.75062111420574,32.04704092182935
396,100456.6210045662,39.64468227916615,31.957044610482154
397,100710.29934043632,39.5392865597732,31.86747876024748
398,100963.97767630644,39.43442980383361,31.778340386947658
399,101217.65601217655,39.33010790113166,31.68962653757887
400,101471.33434804667,39.22631678294934,31.601334289978862
401,101725.0126839168,39.1230524214587,31.51346075228347
402,101978.6910197869,39.02031082930821,31.42600306254448
403,102232.36935565702,38.91808805906679,31.33895838831319
404,102486.04769152714,38.816380202717916,31.252323926185383
405,102739.72602739725,38.7151833912147,31.16609690145504
406,102993.40436326737,38.6144937939506,31.080274567637144
407,103247.08269913749,38.51430761834255,30.99485420610739
408,103500.76103500761,38.41462110928409,30.90983312573019
409,103754.43937087772,38.315430548771246,30.82520866244825
410,104008.11770674784,38.21673225536477,30.740978178893023
411,104261.79604261796,38.11852258384603,30.657139064060587
412,104515.47437848807,38.020797924655476,30.573688732906188
413,104769.15271435819,37.92355470356409,30.490624625994503
414,105022.83105022831,37.82678938116497,30.407944209155936
415,105276.50938609842,37.73049845252657,30.32564497313123
416,105530.18772196854,37.634678446695176,30.24372443324145
417,105783.86605783866,37.53932592637873,30.162180129020438
